name,zone,category,tenderdate,type,use,tenure,landsize,gfa,top,glslink,notes,dev,landprice,projectname,psf_gfa
Serangoon Road / Sungei Road,,,18/9/1996,White Site,Commercial or Hotel or Commercial & Residential and Carpark Station,99,"68,155.40","238,544",,,,Hicom Properties Sdn Bhd,"$84,000,000.00",,
Trevose Crescent / Whitley Road,,,21/8/1996,Residential (Non-Landed),Condominium,99,"169,797.60","237,715",,,,City Developments Ltd & Trade & Industrial Development (Pte) Ltd,"$118,800,000.00",,
Raffles Link / Raffles Boulevard / Nicoll Highway,,,15/8/1996,Commercial,Commercial or Commercial & Residential or Hotel with underground shopping mall,99,"193,666.00","395,454",,,,HKL (Marina) Ltd,"$292,005,000.00",,
Kaki Bukit Avenue 1 / Kaki Bukit Road 4,,,20/6/1996,Industrial,Clean and Light Industry,60,"810,879.50",#VALUE!,,,,Sin Soon Lee Realty Co Pte Ltd & Sim Lian Construction Co (Pte) Ltd,"$110,283,000.00",,
Tuas South Avenue 5 / Tuas South Avenue 8,,,20/6/1996,Industrial,General Industry,60,"1,402,438.80",#VALUE!,,,,"Technology Parks Pte Ltd, Lend Lease Asia Holdings Pte Ltd & Singbus Land Pte Ltd","$83,380,000.00",,
Bishan Road,,,22/5/1996,Residential (Non-Landed),Condominium,99,"158,007.10","252,817",,,,Kanopy Investment Pte Ltd,"$115,358,000.00",,
Dunearn Road / Whitley Road,,,27/3/1996,Recreation,Private Recreation Club,30,"132,586.60","185,619",,,,Europa Holdings Pte Ltd,"$100,089,000.00",,
Eastwood Park,,,21/3/1996,Residential (Non-Landed),Condominium,99,"58,033.30","81,248",,,,Hong Leong Holdings Ltd,"$24,368,000.00",,
Eastwood Park,,,21/3/1996,Residential (Non-Landed),Flats,99,"11,382.60","15,941",,,,Tong Joo Aik Construction Pte Ltd,"$3,172,500.00",,
Lorong Ong Lye,,,21/3/1996,Residential (Non-Landed),Mixed Landed or Flats,99,"42,668.07","59,738",,,,Allgreen Properties Ltd and Hoe Seng Co (Pte) Ltd,"$15,888,000.00",,
Marymount Road,,,21/3/1996,Residential (Non-Landed),Condominium,99,"137,811.94","289,402",,,,Orchard Parade Land Pte Ltd,"$105,928,000.00",,
Eunos Link / Ubi Avenue 2,,,28/2/1996,Others,Car Sales Centre,30,"175,318.30","438,296",,,,Automobile Megamart Ltd,"$40,999,000.00",,
Eunos Link / Kaki Bukit Avenue 1,,,7/2/1996,Industrial,Light Industry,60,"701,477.70",#VALUE!,,,,Glory Realty Co. Pte Ltd,"$131,960,000.00",,
Kaki Bukit Avenue 1 / Avenue 3,,,7/2/1996,Industrial,Light Industry,60,"645,818.90",#VALUE!,,,,"Technology Parks Pte Ltd, First Capital Corporation Ltd and Singbus Land Pte Ltd","$78,000,000.00",,
Tuas South Avenue 3 / Tuas South Avenue 6,,,7/2/1996,Industrial,General and/or Light Industry,60,"1,371,827.00",#VALUE!,,,,Glory Realty Co. Pte Ltd,"$104,608,000.00",,
Tuas South Avenue 3 / Tuas South Avenue 8,,,7/2/1996,Industrial,General and/or Light Industry,60,"969,686.30",#VALUE!,,,,Glory Realty Co. Pte Ltd,"$73,948,000.00",,
Bedok Reservoir Road,,,24/1/1996,Residential (Non-Landed),Condominium,99,"444,710.90","933,897",,,,First Capital Corporation Ltd,"$261,496,120.00",,
Bedok Road / Upper Changi Road,,,24/1/1996,Residential (Non-Landed),Mixed Landed or Condominium,99,"81,340.90","113,879",,,,Sing Development (Pte) Ltd,"$36,800,000.00",,
Bedok South Avenue 1,,,24/1/1996,Residential (Non-Landed),Mixed Landed or Condominium,99,"236,638.80","331,294",,,,Boo Han Holdings Pte Ltd & DBS Realty (Pte) Ltd,"$122,748,000.00",,
Commonwealth Avenue West / Faber Heights,,,24/1/1996,Residential (Non-Landed),Mixed Landed or Condominium,99,"398,545.60","557,966",,,,City Developments Ltd,"$156,200,000.00",,
Hillview Avenue / Bukit Batok Town Park,,,24/1/1996,Residential (Non-Landed),Condominium,99,"140,433.30","269,629",,,,Amcol Holdings Ltd,"$63,380,000.00",,
Tanjong Rhu Road,,,24/1/1996,Residential (Non-Landed),Condominium,99,"114,170.00","319,680",,,,Riverside Walk Pte Ltd,"$120,880,000.00",,
Bencoolen Street / Albert Street,,,17/1/1996,Commercial and Residential,Commercial / Residential or Hotel ,99,"70,991.60","298,175",,,,Winfar Investment Pte Ltd & Winwave Investment Pte Ltd,"$135,123,000.00",,
Middle Road / Prinsep Sreet,,,17/1/1996,White Site,White Site,99,"27,991.90","117,571",,,,IOI Properties Berhad,"$52,222,222.00",,
Telok Ayer Street / Cross Street,,,17/1/1996,White Site,White Site,99,"33,125.10","459,123",,,,The Development Bank of Singapore Ltd,"$367,310,736.00",,
Cecil Street / Church Street,,,23/8/1995,Commercial,Commercial,99,"21,511.20","298,153",,,,SSL Properties Pte Ltd,"$329,100,000.00",,
Church Street / Telok Ayer Street,,,23/8/1995,Commercial,Commercial or Hotel or Commercial/Residential,99,"119,444.20","441,094",,,,SSL Properties Pte Ltd,"$392,100,000.00",,
Penang Road / Oxley Road,,,23/8/1995,Commercial,Commercial / Residential or Hotel,99,"27,488.20","115,451",,,,Golden Development Pte Ltd,"$67,290,000.00",,
Kaki Bukit Avenue 1 / Kaki Bukit Road 3,,,21/6/1995,Industrial,Light Industry,60,"656,459.90",#VALUE!,,,,Ho Lee Investments (Pte) Ltd,"$136,390,000.00",,
Tuas South Avenue 5 / Tuas South Avenue 8,,,21/6/1995,Industrial,General and/or Light Industry,60,"1,041,669.30",#VALUE!,,,,Ho Lee Investments (Pte) Ltd,"$73,068,000.00",,
Alkaff Quay,,,7/6/1995,Residential (Non-Landed),Flats with option for commercial uses on the 1st storey only,99,"231,213.90","647,401",,,,Ho Lee Investments (Pte) Ltd,"$290,180,000.00",,
Bukit Batok East Avenue 2,,,7/6/1995,Residential (Non-Landed),Condominium,99,"290,984.50","814,754",,,,Ho Lee Investments (Pte) Ltd,"$155,631,000.00",,
Eastwood Park Phase 2 (Land Parcel F6),,,7/6/1995,Residential (Non-Landed),Flats,99,"39,006.40","54,604",,,,Goldvein Pte Ltd,"$16,602,000.00",,
Eastwood Park Phase 2 (Land Parcel F7),,,7/6/1995,Residential (Non-Landed),Flats,99,"30,737.80","43,033",,,,Goldvein Pte Ltd,"$12,911,000.00",,
Eastwood Park Phase 2 (Land Parcel F8),,,7/6/1995,Residential (Non-Landed),Flats,99,"31,156.50","43,614",,,,Goldvein Pte Ltd,"$13,128,000.00",,
Eastwood Park Phase 2 (Land Parcel G),,,7/6/1995,Residential (Non-Landed),Flats with commercial uses on the first storey only,99,"46,336.40","97,303",,,,Ho Bee Developments Pte Ltd,"$23,990,000.00",,
Bencoolen Street/ Albert Street,,,18/1/1995,Hotel,Hotel or Commercial / Residential,99,"76,360.60","320,714",,,,Hong Leong Holdings Ltd,"$120,188,000.00",,
Cross Street / China Street,,,18/1/1995,Commercial,Commercial / Carpark Station,99,"150,691.10","220,655",,,,Victory Realty Co Ltd,"$111,000,000.00",,
Duchess Avenue,,,18/1/1995,Residential (Non-Landed),Condominium / Mixed Landed Housing,99,"167,252.00","234,152",,,,Winwill Investment Pte Ltd & Winfaith Investment Pte Ltd,"$91,230,000.00",,
Duchess Avenue,,,18/1/1995,Residential (Non-Landed),Condominium / Mixed Landed Housing,99,"146,999.10","205,801",,,,Winwill Investment Pte Ltd & Winfaith Investment Pte Ltd,"$77,518,000.00",,
Sunrise Avenue,,,18/1/1995,Residential (Non-Landed),Condominium / Mixed Landed Housing,99,"260,947.40","365,329",,,,Winfast Investment Pte Ltd & Windew Investment Pte Ltd,"$55,110,000.00",,
Telok Ayer Street,,,18/1/1995,Commercial,Food Centre / Restaurant,30,"23,895.30","54,295.10",,,,Wah Khiaw Developments Pte Ltd,"$17,010,000.00",,
Upper Changi Road East,,,18/1/1995,Residential (Non-Landed),Condominium (Service Apartment will not be allowed),99,"276,597.80","387,233",,,,First Capital Corporation Ltd,"$96,726,720.00",,
Eastwood Park Phase 1 (Land Parcel F1),,,18/1/1995,Residential (Non-Landed),Flats,99,"35,563.10","49,793",,,,Seah  Say Yoong & Chng Gim Huat,"$13,087,552.00",,
Eastwood Park Phase 1 (Land Parcel F2),,,18/1/1995,Residential (Non-Landed),Flats,99,"32,886.20","46,036",,,,Seah  Say Yoong & Chng Gim Huat,"$12,102,784.00",,
Havelock Road / Solomon Street,,,14/9/1994,Commercial and Residential,Residential / Commercial,99,"67,143.60","187,998",,,,Orchard Parade Land Pte Ltd,"$71,699,000.00",,
Jalan Hajijah,,,14/9/1994,Residential (Non-Landed),Condominium,99,"117,193.50","164,070",,,,Bullion Holdings Pte Ltd,"$64,218,000.00",,
Jalan Sempadan,,,14/9/1994,Residential (Non-Landed),Condominium,99,"461,028.60","645,442",,,,Bullion Holdings Pte Ltd,"$231,800,000.00",,
Lorong 42 Geylang,,,14/9/1994,Residential (Non-Landed),Apartment,99,"75,688.90","211,925",,,,Bullion Holdings Pte Ltd,"$56,390,000.00",,
Kaki Bukit Avenue 2 / Kaki Bukit Road 1,,,21/7/1994,Industrial,Light Industry,60,"779,991.00",#VALUE!,,,,"Chng Heng Tiu, Chwee Meng Chong, Ho Mun Sang & Ho Mun Fei","$92,042,000.00",,
Woodlands Industrial Park E1,,,21/7/1994,Industrial,General and/or Light Industry,60,"853,395.90",#VALUE!,,,,Lend Lease Asia Pty Limited,"$75,000,751.00",,
Punggol,,,24/2/1994,Others,Boatel,30,"343,944.90","172,218",,,,North Shore Marina Pte Ltd,"$17,500,000.00",,
Bras Basah Road,,,23/11/1993,Hotel,"Hotel / Shopping (new development and the conservation, repair and adaptive reuse of the existing buildings)",99,"50,537.50","212,259",,,,Bushey Park Pte Ltd,"$60,050,000.00",,
Penang Road / Oxley Road,,,23/11/1993,Commercial,"Commercial / Residential with conservation, repair and adaptive reuse of the existing Victorian Building",99,"50,055.30","198,471",,,,Winshine Investment Pte Ltd and Winmax Investment Pte Ltd,"$68,980,000.00",,
Stamford Road,,,23/11/1993,Commercial,Commercial,99,"22,340.00","78,187",,,,UIC Land Pte Ltd,"$26,338,000.00",,
Syed Alwi Road,,,23/11/1993,Others,Wet market / Commercial or Institutional ,99,"29,743.20","89,231",,,,Tacwealth Investments Pte Ltd,"$16,630,000.00",,
Merchant Road / Boat Quay,,,19/8/1993,Hotel,Hotel,99,"100,015.80","350,055",,,,DBS Land Ltd,"$52,128,000.00",,
Robertson Quay / Nanson Road,,,19/8/1993,Residential with Commercial at 1st Sty,Residential / Shopping,99,"61,675.70","172,692",,,,Cosmopolitan Development Pte Ltd,"$29,173,221.00",,
Hill Street / Coleman Street,,,24/2/1993,Hotel,"Hotel / Shopping (new development and the conservation, repair and adaptive reuse of ten existing shophouses)",99,"64,349.40","225,219",,,,Hotel Plaza Limited,"$38,000,000.00",,
Tanglin Road,,,24/2/1993,Commercial,Office / Shopping / Residential,99,"20,928.80","33,992",,,,Union Investment Holding (Private) Limited,"$23,000,000.00",,
Kaki Bukit,,,9/2/1993,Industrial,Light industry,60,"645,818.90",#VALUE!,,,,Technology Parks Pte Ltd,"$44,880,000.00",,
Tuas South Avenue 3 / Tuas South Avenue 4,,,9/2/1993,Industrial,General or Light industry,60,"1,100,733.80",#VALUE!,,,,Technology Parks Pte Ltd,"$24,338,800.00",,
Tuas South Avenue 4 / Tuas South Avenue 5,,,9/2/1993,Industrial,General or Light industry,60,"1,100,733.80",#VALUE!,,,,Technology Parks Pte Ltd,"$24,032,000.00",,
Bayshore Road,,,7/1/1993,Residential (Non-Landed),Condominium,99,"441,142.80","1,323,434",,,,Victory Realty Co. Pte Ltd,"$161,189,000.00",,
Robertson Quay,,,7/1/1993,Residential with Commercial at 1st Sty,Apartments with shops on 1st storey,99,"36,703.00","102,771",,,,Victory Realty Co. Pte Ltd,"$16,379,000.00",,
Tanjong Rhu Road,,,7/1/1993,Residential (Non-Landed),Condominium,99,"80,148.30","222,011",,,,Hong Leong Holdings Ltd,"$33,500,000.00",,
Merchant Road / Angus Street,,,24/11/1992,Hotel,Restoration and adaptive reuse of existing buildings as well as new development,99,"28,082.40","66,379",,,,Food Alley Pte Ltd,"$6,890,000.00",,
Merchant Road / Magazine Road,,,24/11/1992,Commercial,Restoration and adaptive reuse of existing buildings as well as new development,99,"51,730.10","86,647",,,,City Developments Limited,"$11,500,000.00",,
Media Circle,,,,,Mix,,114097.5,,,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=1012,,,,,
Marina Gardens Crescent,,,,White Site,Mix,,,,,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=1013,,,,,
Woodlands Avenue 2,,reserved,,White Site,Commercial / Residential (500+ units),99,296007.5,,,,,,,,
Pine Grove (Parcel B),,reserved,,,Residential (Non-Landed),99,269098,,,,,,,,
Clementi Avenue 1,,reserved,,,Residential (Non-Landed),99,143160,,,,,,,,
Lentor Gardens,,reserved,,,Residential (Non-Landed),99,221736.6,,,,,,,,
Lorong 1 Toa Payoh,,reserved,,,Residential (Non-Landed),99,166840.6,,,,,,,,
